"Category
(類別)","Summary
(概要)","Expect Result
(預期結果)",function_name,dependency,status ,"Note
(註解)"
基本設定,,,test_basic_settings.py,,,
正向,頁面顯示正常,頁面顯示正常,test_page_display_normal,-,done,
正向,各頁面網站標題,顯示正確,test_page_title_display_correct,-,done,
負向,各頁面重新載入,未發生跑版或錯誤,test_page_reload_no_layout_error,-,done,
負向,各頁面切換上一頁、下一頁,未發生跑版或錯誤,test_page_navigation_no_layout_error,-,done,
負向,各頁面切換瀏覽器分頁,未發生跑版或錯誤,test_browser_tab_switch_no_layout_error,-,done,
正向,PC版進站動畫(Loading),每天第一次進入時出現,test_pc_loading_animation_on_first_visit,-,done,
Header,,,,,,
PC,,,test_header_pc.py,,,
正向,遊戲橘子LOGO,點擊後前往橘子官網,test_gamania_logo_redirect_to_official,-,done,
正向,遊戲(下拉按鈕),可下拉,test_game_dropdown_expandable,-,done,
正向,遊戲(下拉按鈕-選擇線上遊戲),可前往官網遊戲館,test_game_dropdown_online_redirect,test_game_dropdown_expandable,done,
正向,遊戲(下拉按鈕-選擇手機遊戲),可前往官網手機遊戲館,test_game_dropdown_mobile_redirect,test_game_dropdown_expandable,是否棄用 詢問中,
正向,TW(下拉按鈕),可下拉,test_tw_dropdown_expandable,是否棄用 詢問中,是否棄用 詢問中,
正向,TW(下拉按鈕-選擇Taiwan),可前往官網,test_tw_dropdown_taiwan_redirect,是否棄用 詢問中,是否棄用 詢問中,
正向,圖文排列,顯示正常,test_header_content_layout_normal,是否棄用 詢問中,是否棄用 詢問中,
手機,,,test_header_mobile.py,,,
,無Header,,test_mobile_no_header,,done,
首頁,,,,,,
PC,,,test_home_pc.py,,,
正向,主視覺,顯示正常,test_main_visual_display_normal,,,
正向,左上角新楓之谷LOGO,顯示正常,test_maple_story_logo_display_normal,,,
正向,左下角廣宣浮水印(顯示),顯示正常,test_ad_watermark_display_normal,,,
正向,左下角廣宣浮水印(點擊),可跳轉至廣宣頁,test_ad_watermark_click_redirect,,,
正向,左下角廣宣浮水印(關閉),可正常關閉,test_ad_watermark_close_normal,,,
正向,左下角廣宣浮水印(重整頁面),再次出現,test_ad_watermark_reappear_on_reload,,,
正向,右下角小幫手浮水印(顯示),顯示正確,test_helper_watermark_display_correct,,,
正向,右下角小幫手浮水印(點擊),連結正常,test_helper_watermark_click_redirect,,,
正向,右下角小幫手浮水印(跟隨),隨頁面上下滑動跟隨,test_helper_watermark_scroll_follow,,,
正向,右下角小幫手浮水印(移動),可長按移動位置,test_helper_watermark_drag_movable,,,
正向,Beanfun Icon,可跳轉至Beanfun頁面,test_beanfun_icon_redirect,,,
正向,Facebook Icon,可跳轉至官方臉書頁面,test_facebook_icon_redirect,,,
正向,Instagram Icon,可跳轉至官方IG頁面,test_instagram_icon_redirect,,,
正向,SOUND(音樂播放),可正常播放,test_sound_play_normal,,,
正向,SOUND(音樂關閉),可正常關閉,test_sound_close_normal,,,
正向,SOUND(樂曲切換) ,可正常切換且歌曲預設為播放狀態,test_sound_switch_normal_with_default_play,,,
正向,SOUND(當前播放歌名跑馬燈),可正常顯示,test_sound_marquee_display_normal,,,
正向,GAME START(未登入-點擊),點擊後可成功引導至遊戲館開啟共登,test_game_start_not_logged_in_redirect,,,
正向,GAME START(已登入-點擊),點擊後可成功引導至遊戲館開啟相關遊戲,test_game_start_logged_in_redirect,,,
正向,GAME START(滑鼠放置),出現集氣動畫,test_game_start_hover_animation,,,
正向,遊戲下載,引導至下載專區,test_game_download_redirect,,,
正向,申請帳號,引導至官網註冊遊戲橘子帳號區,test_register_account_redirect,,,
正向,導覽列,下滑時可固定於上方,test_navigation_bar_fixed_on_scroll,,,
正向,導覽列(大標題),最新消息、楓葉圖書、下載專區、楓葉會員、香港專區,test_navigation_bar_titles_display,,,
正向,導覽列(大標題-點擊最新消息),錨點至下方的最新消息區塊,test_nav_news_anchor_redirect,,,
正向,導覽列(大標題-點擊楓葉圖書),錨點至下方的職業介紹區塊,test_nav_books_anchor_redirect,,,
正向,導覽列(大標題-點擊下載專區),跳轉至下載專區頁面,test_nav_download_redirect,,,
負向,導覽列(大標題-點擊楓葉會員),無法點擊,test_nav_member_not_clickable,,,
正向,導覽列(大標題-點擊香港專區),跳轉至香港遊戲橘子官網,test_nav_hk_redirect,,,
正向,導覽列(最新消息-按鈕),連結均正常,test_nav_news_buttons_redirect,,,
正向,導覽列(楓葉圖書-按鈕),連結均正常,test_nav_books_buttons_redirect,,,
正向,導覽列(下載專區-按鈕),連結均正常,test_nav_download_buttons_redirect,,,
正向,導覽列(楓葉會員-按鈕),連結均正常,test_nav_member_buttons_redirect,,,
正向,導覽列(香港專區-按鈕),連結均正常,test_nav_hk_buttons_redirect,,,
正向,廣宣燈箱(顯示),顯示正常,test_ad_banner_display_normal,,,
